 #4th order for f(n) = 1/1+25**2  and their resective errors
#4th order                            #errrors
  10.000000000000000         0.61701739553302004     
   100.00000000000000        2.4791687034221437     
   1000.0000000000000        2.7860331600271602     
   10000.000000000000        2.8183346409682497     
   100000.00000000000        2.8215814456643376     
   1000000.0000000000        2.8219062931068510 



  
#9th order for f(n) = 1/1+25**2  and their respective errors
   #9th order                       #errrors
   10.000000000000000        0.0000000000000010     
   100.00000000000000        3.7956879734787030     
   1000.0000000000000        5.3491755858801149     
   10000.000000000000        5.5313084109928274     
   100000.00000000000        5.5498160139624879     
   1000000.0000000000        5.5516697450311101  





