#4th order for f(n) = cos(x*pi) and their resective errors 
    #4th order                      #errrors
   10.000000000000000       5.0087385301785102E-002
   100.00000000000000       0.19848834796758150     
   1000.0000000000000       0.22223763446173894     
   10000.000000000000       0.22472266018654755     
   100000.00000000000       0.22497228526101717     
   1000000.0000000000       0.22499725900641637  


#9th order
#9th order for f(n) = cos(x*pi)  and their resective errors
        #9th order             #errrors
   10.000000000000000        0.00000000000000001     
   100.00000000000000        9.0605168295520774E-004
   1000.0000000000000        1.2802119998337374E-003
   10000.000000000000        1.3241793700125874E-003
   100000.00000000000        1.3286482700001210E-003
   1000000.0000000000        1.3290958885813558E-003




